context_id	edge_id	protein_id	function_relation	inference_basis	evidence_snippet	source	source_version	fetch_date
rpi_function_0435b87820ec00baee94	rpi_8f4a34db267e6538	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0447ecdd2def859ec8b8	rpi_f630230becc453e8	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_04486c68e5a80e7f1b0e	rpi_8c6dda35415ead20	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_045714a17d05b7f503cd	rpi_08018fb45467cbf3	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_04a2d7a72247858739dd	rpi_d61c667c21ae0516	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_050419616bf9f378893c	rpi_a1b9d1ce34a3a060	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0516158e1fbc8f9561b8	rpi_f7f8903ace832808	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_053d7bc5938503732829	rpi_df6235edc7d9c2e2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0540f022dcfc15527ea3	rpi_626536749b0430f2	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_057ada30eefff4f89194	rpi_01e64bd9b7045d0f	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_05a62440af252b75dd9e	rpi_6f62798074dd27aa	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_05e06a5655d1b5133986	rpi_9ac6d17963c4980d	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_062e8aff98fd9ba2a26e	rpi_b656db14ad8459d7	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_07027360784ae61588c6	rpi_63e4203c0c6bf5ab	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0a935bfaf274ed0e3ef8	rpi_4def7d62e2ca265a	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0b1d32c7d942bf56c930	rpi_c4959e31b7af8924	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0b874c31b8e723166827	rpi_63e4203c0c6bf5ab	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0da0b19a493bcfc68fae	rpi_e52cfb036824c65f	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0ec0709bbabc1f664825	rpi_f105cf05b082c37e	Q13686	transcription_regulation	keyword:transcription	proteome;RNA repair;Transcription;Transcription regulation;Translation re	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0ec4e76fa44e7047ce10	rpi_540cff7029a39885	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0f89976548b534e820ec	rpi_4159cbd10f670714	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_0fb7e0769c55ef798d2c	rpi_1f55cdadb7c5b5e8	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_101905daf88e3a5ef93b	rpi_7000a2f88033b4a8	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_10ab9cb482d197bd4721	rpi_f27f69c9a32b1221	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_10acf4850e6d1dea2205	rpi_7d8e74021c6589e2	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_10b37cc193cd75c6557f	rpi_543e53a1e7d1fc93	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_10fdc8db260056923403	rpi_a06f097ad7e21c60	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1139b4cb9536d81b0de1	rpi_0861913335e71416	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_115dd8865b72a045669a	rpi_7843729c96bfe6f1	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1182f802a04471eec4a5	rpi_e7835fd60eb2f4d4	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_11c557ef5eea3c6cf043	rpi_f69830a93b2ec676	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_11f62f344fb8196965d6	rpi_3fed42c7f75bd382	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_12056c3ef7cb932c821c	rpi_331995098f7284e3	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_125e990b2c1a3307827c	rpi_7d90633def915690	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_12dd41bec92d465b2825	rpi_1f55cdadb7c5b5e8	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_13942671ce6102cc5989	rpi_20957a483fc5b40a	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1467f67d29833bbcf302	rpi_13d0d1640d410b45	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_14adb9997b30feedc051	rpi_b35195e39d0a922f	Q6P6C2	splicing_regulation	keyword:splic	equired for correct splicing and the production of longer 3'-UTR	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_14bcc6bfa4e52bf8592d	rpi_531a53dd0be9b063	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_14cb551148176de98edd	rpi_6999b2c7612f70d5	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_15504364b04f19338f54	rpi_5269f0acd18ca0a6	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_157a5aba009e0d103e3c	rpi_e7835fd60eb2f4d4	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_16a1d17552799cbd93ec	rpi_7d8e74021c6589e2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1709fdb01481c965bf18	rpi_93dc26db8957aa53	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_180a630da177752eb391	rpi_e5cdcb3ad3b6e7e5	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_18551fb9a2a083804dd2	rpi_7265a660a9a121f0	Q92667	splicing_regulation	keyword:splic	3723] ; Alternative splicing;Membrane;Mitochondrion;Mitochondrion	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_187e78f3c4c33b7d414f	rpi_83be2c8317e91a11	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_194e554d4b3783d5210c	rpi_6999b2c7612f70d5	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_19db21ddaa4aa258718a	rpi_9db4a40db331f501	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1a1403e007a0cb91d9bc	rpi_b656db14ad8459d7	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1a43400f6680cd7b19c8	rpi_20957a483fc5b40a	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1b00af087f9696cab843	rpi_9510b1e4542974fd	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1b51d395970c227a00e0	rpi_9db4a40db331f501	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1c059d3aa0744cff7df9	rpi_d166fd4788beb0df	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1c226632744dc12824a9	rpi_4a26daf75aea5efe	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1c4a58d538fca6a8df35	rpi_123ee896ec97ed47	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1cb6d62c7cac52b4de3d	rpi_5fd132fb7c656c47	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1de8048ef8fa3dde2a39	rpi_e49ba493a84ea7a9	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1e0b92faefacb070e98b	rpi_ab27f293eb69bcb4	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1e74fb2a577be5ed7a39	rpi_59192aeaa68f8e0d	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1e76081dda030dc75fc0	rpi_86e4489e29c87227	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1eae0f5a2258170e96a8	rpi_7000a2f88033b4a8	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1efd53f32c5f3199a361	rpi_93dc26db8957aa53	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1f039950c40fcea00881	rpi_c81dbe8ad72e3dd0	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1f3bddf27a681c1ebe88	rpi_42df163f77d9589d	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1fd0ad9c1db996a123c9	rpi_a412417c778fd9b8	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_1ff722a74465c01a98a9	rpi_f12e91df7bee961c	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_21188afbb31af2f7372a	rpi_ff1aaec499d20467	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_21462f680063eb83caac	rpi_9a70e579a86965f9	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_215f2b9fd40796a4d908	rpi_440fb8542dad0f6b	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_21cdc9ae9e464fc383e0	rpi_9127eb3db303d3de	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_21eb2f9e20e088081a14	rpi_fbbd2cff5a875a0b	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_223fe44b72861dab9013	rpi_8a8b6c44fb6f2b11	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_240d6995f3556e40b952	rpi_9be0f9b3b6710a5e	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_24234947bb091156cf6e	rpi_0cbf80ef5f19ceb5	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_255ec83efd44241d6e8d	rpi_44155c48c7ec5b04	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_25b81cc8e07a552e4353	rpi_e49ba493a84ea7a9	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_25d73e68679d99562d8a	rpi_7a6a7703c0fd84a1	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_26ec098fa839a0b739fc	rpi_5fd132fb7c656c47	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_276ae73cb74e63a4e6c3	rpi_626536749b0430f2	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2793080ff4ea43c510f3	rpi_5a0b11887b00e5dd	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_28a3ec1eda6ab24732d7	rpi_f7f8903ace832808	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_28cdbc37b3c498b947dd	rpi_2ca1bd2972e44797	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_29aac4a8a0270920058b	rpi_1797a9da69d671c8	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2b44f054a614230f010e	rpi_7a6a7703c0fd84a1	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2c10584fce078f7b13b3	rpi_ffc1ce6e562332cc	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2d023749a4154c631e71	rpi_4bcbfbc535322f22	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2e8ce29407a37e6c07be	rpi_9127eb3db303d3de	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_2fbb4bf9a6ad203d9a76	rpi_b2ccb4b810fcf591	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_305ab2ba4d3bea128e39	rpi_2ca1bd2972e44797	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_306f8ee62697dfeb94ce	rpi_057317267154ede2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_30e4d3f217f19ab5c0e7	rpi_19247cf7dabccbbc	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3131dffc94fcf6812e2a	rpi_b2ccb4b810fcf591	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_31eab3a79c611b233720	rpi_4df0054ab184b29f	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3220d1eefe5f499d60d1	rpi_b0490bf5b1bd7061	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_327cde5a60a21163755a	rpi_83909fddc6820a19	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_32a73e729bf0ac956d96	rpi_5287d70229d2c172	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_32b73ceabc6cb0c0fdd5	rpi_85658c9915e920a6	Q9UKV3	transcription_regulation	keyword:transcription	introns in specific transcription subsets; ACIN1 confers RNA-binding to t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3348ddd98e692b6a3b52	rpi_ade002b8adac1400	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_339b39419fda76a307c6	rpi_fbbd2cff5a875a0b	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_33a9abb6cf5a30421f60	rpi_e618e6d73f06dad6	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_33e4a57aa3b8e87d4a0f	rpi_59192aeaa68f8e0d	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_33f355a101331e657917	rpi_038a28474780857d	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_34065dc31e60281fabe9	rpi_a0fa991168e9c049	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_344aabbf6f73a7c23b48	rpi_26e56f06ef12e6ce	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_34d4c65359c7445bc232	rpi_44155c48c7ec5b04	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_355e6b4daa7ed29e071f	rpi_54bd67efdc8f4310	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3574fe106e824b051660	rpi_113293cb73e546af	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_35986bf97168ec98c26b	rpi_a06f097ad7e21c60	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_35b853468b92e7114227	rpi_a3559b414646e172	Q86V81	splicing_regulation	keyword:splic	lly associates with spliced mRNA and not with unspliced pre-mRNA	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_371509ba5b4268162466	rpi_626536749b0430f2	Q86V81	transcription_regulation	keyword:transcription	REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3757695473ac696afa1f	rpi_a612f37ac81d18de	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_376bd0f05793b982462f	rpi_b7c0a8c1e03422da	Q9UKV3	splicing_regulation	keyword:splic	ry component of the splicing-dependent multiprotein exon junction	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
rpi_function_3799fd0143cc4ed6f46b	rpi_7eb0ff9afe5902a0	Q86V81	translation_regulation	keyword:cap[-\s]?dependent	in a splicing- and cap-dependent manner to a region near the 5' end of t	UniProtKB/Swiss-Prot	protein_master_v6_clean	2026-04-12
